# topo-tree.txt
# 20 caches 100 clients 1 Origin Server  


#	/--------\	   /--------\	     /--------------\	
#	| client |---------| cache1 |--------| OriginServer |
#       \--------/         \--------/	     \--------------/
#

router

#node		y	x
client1		120	-50
client2		120	-49

link

# from	    	to		capacity	metric	delay	queue
client100	cache20		10Mbps		1	10ms	10
client99	cache20		10Mbps		1	10ms	10
client98	cache20		10Mbps		1	10ms	10
client99	cache20		10Mbps		1	10ms	10
client97	cache20		10Mbps		1	10ms	10
client95	cache20		10Mbps		1	10ms	10
client94	cache20		10Mbps		1	10ms	10
client93	cache20		10Mbps		1	10ms	10
client92	cache20		10Mbps		1	10ms	10
client91	cache20		10Mbps		1	10ms	10
client90	cache20		10Mbps		1	10ms	10
client89	cache20		10Mbps		1	10ms	10
client88	cache20		10Mbps		1	10ms	10
client87	cache20		10Mbps		1	10ms	10
client86	cache20		10Mbps		1	10ms	10
client85	cache20		10Mbps		1	10ms	10
client84	cache20		10Mbps		1	10ms	10
client83	cache20		10Mbps		1	10ms	10
client82	cache20		10Mbps		1	10ms	10
client81	cache20		10Mbps		1	10ms	10
client80	cache20		10Mbps		1	10ms	10
client79	cache20		10Mbps		1	10ms	10
client78	cache20		10Mbps		1	10ms	10
client77	cache20		10Mbps		1	10ms	10
client76	cache20		10Mbps		1	10ms	10
client75	cache20		10Mbps		1	10ms	10
client74	cache20		10Mbps		1	10ms	10
client73	cache20		10Mbps		1	10ms	10
client72	cache20		10Mbps		1	10ms	10
client71	cache20		10Mbps		1	10ms	10
client70	cache20		10Mbps		1	10ms	10
client69	cache20		10Mbps		1	10ms	10
client68	cache20		10Mbps		1	10ms	10
client67	cache20		10Mbps		1	10ms	10
client66	cache20		10Mbps		1	10ms	10
client65	cache20		10Mbps		1	10ms	10
client64	cache20		10Mbps		1	10ms	10
client63	cache20		10Mbps		1	10ms	10
client62	cache20		10Mbps		1	10ms	10
client61	cache20		10Mbps		1	10ms	10
client60	cache20		10Mbps		1	10ms	10
client59	cache20		10Mbps		1	10ms	10
client58	cache20		10Mbps		1	10ms	10
client57	cache20		10Mbps		1	10ms	10
client56	cache20		10Mbps		1	10ms	10
client55	cache20		10Mbps		1	10ms	10
client54	cache20		10Mbps		1	10ms	10
client53	cache20		10Mbps		1	10ms	10
client52	cache20		10Mbps		1	10ms	10
client51	cache20		10Mbps		1	10ms	10
client50	cache20		10Mbps		1	10ms	10
client49	cache20		10Mbps		1	10ms	10
client48	cache20		10Mbps		1	10ms	10
client47	cache20		10Mbps		1	10ms	10
client46	cache20		10Mbps		1	10ms	10
client45	cache20		10Mbps		1	10ms	10
client44	cache20		10Mbps		1	10ms	10
client43	cache20		10Mbps		1	10ms	10
client42	cache20		10Mbps		1	10ms	10
client41	cache20		10Mbps		1	10ms	10
client40	cache20		10Mbps		1	10ms	10
client39	cache20		10Mbps		1	10ms	10
client38	cache20		10Mbps		1	10ms	10
client37	cache20		10Mbps		1	10ms	10
client36	cache20		10Mbps		1	10ms	10
client35	cache20		10Mbps		1	10ms	10
client34	cache20		10Mbps		1	10ms	10
client33	cache20		10Mbps		1	10ms	10
client32	cache20		10Mbps		1	10ms	10
client31	cache20		10Mbps		1	10ms	10
client30	cache20		10Mbps		1	10ms	10
client29	cache20		10Mbps		1	10ms	10
client28	cache20		10Mbps		1	10ms	10
client27	cache20		10Mbps		1	10ms	10
client26	cache20		10Mbps		1	10ms	10
client25	cache20		10Mbps		1	10ms	10
client24	cache20		10Mbps		1	10ms	10
client23	cache20		10Mbps		1	10ms	10
client22	cache20		10Mbps		1	10ms	10
client21	cache20		10Mbps		1	10ms	10
client20	cache20		10Mbps		1	10ms	10
client19	cache20		10Mbps		1	10ms	10
client18	cache20		10Mbps		1	10ms	10
client17	cache20		10Mbps		1	10ms	10
client16	cache20		10Mbps		1	10ms	10
client15	cache20		10Mbps		1	10ms	10
client14	cache20		10Mbps		1	10ms	10
client13	cache20		10Mbps		1	10ms	10
client12	cache20		10Mbps		1	10ms	10
client11	cache20		10Mbps		1	10ms	10
client10	cache20		10Mbps		1	10ms	10
client9		cache20		10Mbps		1	10ms	10
client8		cache20		10Mbps		1	10ms	10
client7		cache20		10Mbps		1	10ms	10
client6		cache20		10Mbps		1	10ms	10
client5		cache20		10Mbps		1	10ms	10
client4		cache20		10Mbps		1	10ms	10
client3		cache20		10Mbps		1	10ms	10
client2		cache20		10Mbps		1	10ms	10
client1		cache20		10Mbps		1	10ms	10
cache20		cache19		10Mbps		1	10ms	10
cache19		cache18		10Mbps		1	10ms	10
cache18		cache17		10Mbps		1	10ms	10
cache17		cache16		10Mbps		1	10ms	10
cache16		cache15		10Mbps		1	10ms	10
cache15		cache14		10Mbps		1	10ms	10
cache14		cache13		10Mbps		1	10ms	10
cache13		cache12		10Mbps		1	10ms	10
cache12		cache11		10Mbps		1	10ms	10
cache11		cache10		10Mbps		1	10ms	10
cache10		cache9		10Mbps		1	10ms	10
cache9		cache8		10Mbps		1	10ms	10
cache8		cache7		10Mbps		1	10ms	10
cache7		cache6		10Mbps		1	10ms	10
cache6		cache5		10Mbps		1	10ms	10
cache5		cache4		10Mbps		1	10ms	10
cache4		cache3		10Mbps		1	10ms	10
cache3		cache2		10Mbps		1	10ms	10
cache2		cache1		10Mbps		1	10ms	10
cache1		originServer	10Mbps		1	10ms	10
